Franchise	Total	Releases	#1 Release	Lifetime Gross
Sicario	9,69,61,528	2	Sicario: Day of the Soldado	5,00,72,235
The Nut Job	9,26,22,063	2	The Nut Job	6,42,51,541
Ernest	9,23,34,369	5	Ernest Saves Christmas	2,82,02,109
Conan	9,19,02,531	3	Conan the Barbarian	3,95,65,475
Harold and Kumar	9,14,20,309	3	Harold & Kumar Escape from Guantanamo Bay	3,81,08,728
The Bad News Bears	9,12,76,524	4	Bad News Bears	3,28,68,349
Benji	8,95,75,053	5	Benji	3,95,52,000
Sin City	8,78,61,624	2	Sin City	7,41,03,820
A Dog's Franchise	8,72,90,991	2	A Dog's Purpose	6,45,08,620
God's Not Dead	8,72,59,247	3	God's Not Dead	6,07,55,732
Ouija	8,60,00,515	2	Ouija	5,08,56,010
Major League	8,39,95,773	3	Major League	4,97,97,148
Happy Death Day	8,38,31,975	2	Happy Death Day	5,56,83,845
El Mariachi	8,38,06,145	3	Once Upon a Time in Mexico	5,63,59,780
Escape Room	8,23,20,354	2	Escape Room	5,70,05,601
Bill & Ted	8,19,62,212	3	Bill & Ted's Excellent Adventure	4,04,85,039
Woman in Black	8,08,34,613	2	The Woman in Black	5,43,33,290
Dark Universe	8,02,27,895	1	The Mummy	8,02,27,895
Oh God!	7,77,30,370	3	Oh God!	4,16,87,243
Strangers	7,71,84,318	2	The Strangers	5,25,97,610
The Shining	7,69,14,664	5	The Shining	4,40,17,374
Kick-Ass	7,68,67,288	2	Kick-Ass	4,80,71,303
Jeepers Creepers	7,59,06,555	3	Jeepers Creepers	3,79,04,175
Sinister	7,58,27,858	2	Sinister	4,80,86,903
Evil Dead	7,40,65,876	4	Evil Dead	5,42,39,856
Zoolander	7,40,20,943	2	Zoolander	4,51,72,250
47 Meters Down	6,65,68,091	2	47 Meters Down	4,43,07,191
House Party	6,51,05,500	3	House Party	2,63,85,627
Three Flavours Cornetto	6,31,84,990	3	The World's End	2,60,04,851
Hot Tub Time Machine	6,26,02,207	2	Hot Tub Time Machine	5,02,87,556
Tomb Raider	5,82,50,803	1	Tomb Raider	5,82,50,803
A Haunted House	5,73,71,169	2	A Haunted House	4,00,41,683
The Last Exorcism	5,62,13,652	2	The Last Exorcism	4,10,34,350
Meatballs	5,06,04,203	3	Meatballs	4,30,46,003
Super Troopers	4,91,09,758	2	Super Troopers 2	3,06,17,396
Hellraiser	4,85,26,609	4	Hellraiser	1,45,64,027
The Boy	4,84,31,092	2	The Boy	3,58,19,556
Universal Soldier	4,69,73,251	3	Universal Soldier	3,62,99,898
Highlander	4,65,71,278	4	Highlander II: The Quickening	1,55,56,340
Fright Night	4,62,08,628	3	Fright Night	2,49,22,237
3 Ninjas	4,15,88,439	4	3 Ninjas	2,90,00,301
Unfriended	4,13,48,835	2	Unfriended	3,24,82,090
Johnny English	4,08,00,506	3	Johnny English	2,80,82,366
Missing in Action	3,97,61,759	3	Missing in Action	2,28,12,411
The Neverending Story	3,75,32,335	2	The NeverEnding Story	2,01,58,808
Iron Eagle	3,71,74,796	3	Iron Eagle	2,41,59,872
Machete	3,46,01,807	2	Machete	2,65,93,646
Care Bears	3,40,82,968	3	The Care Bears Movie	2,29,34,622
Earth	3,20,92,921	2	Earth	3,20,11,576
An Inconvenient Franchise	2,76,42,956	2	An Inconvenient Truth	2,41,46,161
Return of the Living Dead	2,34,98,011	3	The Return of the Living Dead	1,42,37,880
Millennium	2,29,23,607	3	The Girl with the Dragon Tattoo	1,00,95,170
Mechanic	2,12,25,799	2	Mechanic: Resurrection	2,12,18,403
No Manches Frida	2,07,99,533	2	No manches Frida	1,15,28,613
Before	1,94,70,681	3	Before Midnight	81,14,627
RiffTrax	1,85,33,257	7	Krull	1,65,19,460
American Ninja	1,57,59,893	4	American Warrior	1,04,99,694
Dhoom	1,09,21,297	3	Dhoom 3	80,31,955
Atlas Shrugged Franchise	88,10,132	3	Atlas Shrugged: Part I	46,27,375
Raid	67,32,396	2	The Raid: Redemption	41,05,187
The Work and the Glory	66,97,771	3	The Work and the Glory	33,47,647
The Trip	60,69,103	3	The Trip to Italy	28,80,537
Ong Bak	46,80,515	3	Ong-Bak: The Thai Warrior	45,63,167
Ip Man Franchise	29,22,996	3	Ip Man 3	26,79,437
Chal Mera Putt	10,89,000	2	Chal Mera Putt 3	6,44,000
Shiloh	10,66,768	2	Shiloh	10,07,822
Evangelion	4,16,382	3	Evangelion: 3.0 You Can (Not) Redo	1,74,945
V/H/S	1,24,934	3	V/H/S	1,00,345
